                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     36,                0.54716,                0.48863,                0.84541,                0.91465,                0.86468,                0.93481,                0.82047,                0.45295,                0.37117,                0.80466,             6.7974e-05,             6.7974e-05,             6.7974e-05
                     37,                0.53894,                0.47416,                0.84327,                0.90501,                  0.876,                0.93491,                 0.8208,                0.45057,                0.36848,                 0.8043,             6.3856e-05,             6.3856e-05,             6.3856e-05
                     38,                0.53344,                0.47427,                0.84265,                 0.9177,                0.86842,                0.93586,                0.82312,                0.44793,                0.36738,                0.80447,             5.9738e-05,             5.9738e-05,             5.9738e-05
                     39,                0.53137,                0.47662,                0.84178,                0.91545,                0.86893,                0.93716,                0.82542,                0.44418,                0.36189,                0.80336,             5.5619e-05,             5.5619e-05,             5.5619e-05
                     40,                0.52696,                0.46523,                0.84072,                0.92715,                0.86915,                0.94104,                0.82982,                0.44309,                0.35911,                0.80434,             5.1501e-05,             5.1501e-05,             5.1501e-05
                     41,                0.48541,                0.41858,                 0.8192,                0.93171,                0.84898,                0.93459,                0.82226,                 0.4523,                0.36626,                0.80448,             4.7382e-05,             4.7382e-05,             4.7382e-05
                     42,                0.47369,                0.40599,                0.81422,                0.91637,                0.87094,                0.93732,                0.82723,                0.44217,                0.35991,                0.80251,             4.3264e-05,             4.3264e-05,             4.3264e-05
                     43,                0.46698,                0.40382,                0.81294,                0.90906,                0.88412,                0.93976,                0.82962,                0.43741,                0.35704,                0.80186,             3.9146e-05,             3.9146e-05,             3.9146e-05
                     44,                0.46249,                 0.3968,                0.81212,                0.91308,                0.87675,                0.94012,                0.83228,                0.43489,                0.35484,                0.80036,             3.5027e-05,             3.5027e-05,             3.5027e-05
                     45,                0.45429,                0.39234,                0.81264,                0.91684,                0.87063,                0.94082,                0.83405,                0.42907,                0.35135,                0.79972,             3.0909e-05,             3.0909e-05,             3.0909e-05
                     46,                0.45169,                0.38823,                0.81142,                0.92696,                0.87333,                0.94252,                0.83715,                0.42954,                0.34767,                0.80082,              2.679e-05,              2.679e-05,              2.679e-05
                     47,                0.45042,                0.38789,                0.81161,                0.93623,                0.87246,                 0.9427,                0.83707,                0.42738,                0.34408,                0.80022,             2.2672e-05,             2.2672e-05,             2.2672e-05
                     48,                0.44164,                0.38165,                0.80829,                0.93195,                0.87204,                0.94317,                0.83895,                0.42413,                0.34448,                0.79915,             1.8554e-05,             1.8554e-05,             1.8554e-05
                     49,                0.43768,                0.37613,                0.80787,                0.91967,                0.87734,                0.94208,                0.83778,                0.42267,                 0.3445,                0.79885,             1.4435e-05,             1.4435e-05,             1.4435e-05
                     50,                0.43448,                0.37248,                0.80792,                 0.9232,                 0.8747,                 0.9425,                0.83929,                0.42044,                0.34223,                0.79855,             1.0317e-05,             1.0317e-05,             1.0317e-05
